stage=pretrain mode=tied params=4.34M device=cuda:0 world=2 per_gpu_batch=256 effective_batch=512
epoch=115/400 train_loss=0.0048 val_loss=1.8176 val_acc1=57.990 best=58.168 lr=8.145e-04 sec=1902.6
epoch=116/400 train_loss=0.0047 val_loss=1.8149 val_acc1=58.582 best=58.582 lr=8.115e-04 sec=1913.7
epoch=117/400 train_loss=0.0048 val_loss=1.8245 val_acc1=58.090 best=58.582 lr=8.084e-04 sec=1876.0
epoch=118/400 train_loss=0.0047 val_loss=1.8162 val_acc1=58.316 best=58.582 lr=8.053e-04 sec=1871.1
epoch=119/400 train_loss=0.0047 val_loss=1.7972 val_acc1=58.458 best=58.582 lr=8.022e-04 sec=1888.7
epoch=120/400 train_loss=0.0047 val_loss=1.8019 val_acc1=58.516 best=58.582 lr=7.991e-04 sec=1975.6
epoch=121/400 train_loss=0.0047 val_loss=1.7702 val_acc1=58.630 best=58.630 lr=7.960e-04 sec=1896.2
epoch=122/400 train_loss=0.0047 val_loss=1.7496 val_acc1=59.386 best=59.386 lr=7.928e-04 sec=1889.8
epoch=123/400 train_loss=0.0047 val_loss=1.7893 val_acc1=58.812 best=59.386 lr=7.896e-04 sec=1871.0
epoch=124/400 train_loss=0.0047 val_loss=1.7659 val_acc1=59.198 best=59.386 lr=7.864e-04 sec=1867.6
epoch=125/400 train_loss=0.0047 val_loss=1.7884 val_acc1=59.118 best=59.386 lr=7.832e-04 sec=1863.0
epoch=126/400 train_loss=0.0047 val_loss=1.7557 val_acc1=59.366 best=59.386 lr=7.800e-04 sec=2060.9
epoch=127/400 train_loss=0.0047 val_loss=1.7907 val_acc1=58.856 best=59.386 lr=7.768e-04 sec=1953.1
epoch=128/400 train_loss=0.0047 val_loss=1.7786 val_acc1=58.914 best=59.386 lr=7.735e-04 sec=2000.8
epoch=129/400 train_loss=0.0047 val_loss=1.7903 val_acc1=58.602 best=59.386 lr=7.702e-04 sec=1868.8
epoch=130/400 train_loss=0.0046 val_loss=1.7833 val_acc1=58.960 best=59.386 lr=7.669e-04 sec=1895.6
epoch=131/400 train_loss=0.0047 val_loss=1.7499 val_acc1=59.234 best=59.386 lr=7.636e-04 sec=1861.8
epoch=132/400 train_loss=0.0046 val_loss=1.7618 val_acc1=59.306 best=59.386 lr=7.603e-04 sec=1854.4
epoch=133/400 train_loss=0.0046 val_loss=1.7449 val_acc1=59.820 best=59.820 lr=7.570e-04 sec=1855.0
epoch=134/400 train_loss=0.0046 val_loss=1.7260 val_acc1=59.776 best=59.820 lr=7.536e-04 sec=1854.3
epoch=135/400 train_loss=0.0046 val_loss=1.7506 val_acc1=59.900 best=59.900 lr=7.503e-04 sec=1862.7
epoch=136/400 train_loss=0.0046 val_loss=1.7442 val_acc1=59.862 best=59.900 lr=7.469e-04 sec=1854.8
epoch=137/400 train_loss=0.0046 val_loss=1.7274 val_acc1=59.770 best=59.900 lr=7.435e-04 sec=1855.8
epoch=138/400 train_loss=0.0046 val_loss=1.6943 val_acc1=60.174 best=60.174 lr=7.401e-04 sec=1854.8
epoch=139/400 train_loss=0.0046 val_loss=1.7150 val_acc1=59.994 best=60.174 lr=7.366e-04 sec=1855.3
epoch=140/400 train_loss=0.0046 val_loss=1.7071 val_acc1=60.262 best=60.262 lr=7.332e-04 sec=1856.6
epoch=141/400 train_loss=0.0046 val_loss=1.7235 val_acc1=60.210 best=60.262 lr=7.297e-04 sec=1858.1
epoch=142/400 train_loss=0.0046 val_loss=1.6998 val_acc1=60.320 best=60.320 lr=7.263e-04 sec=1863.6
epoch=143/400 train_loss=0.0046 val_loss=1.6818 val_acc1=60.558 best=60.558 lr=7.228e-04 sec=1865.9
epoch=144/400 train_loss=0.0046 val_loss=1.6885 val_acc1=60.738 best=60.738 lr=7.193e-04 sec=1870.3
epoch=145/400 train_loss=0.0046 val_loss=1.6999 val_acc1=60.526 best=60.738 lr=7.158e-04 sec=1869.4
